City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
197,Provideniya,RU,64.3833,-173.3,51.91,0,22.37,clear sky
198,Idenao,CM,4.2475,9.0047,80.6,20,3.44,moderate rain
199,Wexford,IE,52.3342,-6.4575,53.58,0,4.45,clear sky
200,Floro,NO,61.5996,5.0328,46.4,9,2.08,clear sky
201,Tucuman,AR,-26.8241,-65.2226,55.4,0,4.16,clear sky
202,Ibirapitanga,BR,-14.1642,-39.3736,66.42,8,0.76,clear sky
203,Bathsheba,BB,13.2167,-59.5167,81.21,20,18.14,few clouds
204,Santander,ES,43.4647,-3.8044,60.71,11,4.0,few clouds
205,Faanui,PF,-16.4833,-151.75,79.74,100,15.52,overcast clouds
206,Gandu,BR,-13.7439,-39.4867,65.95,50,0.87,scattered clouds
207,Lakes Entrance,AU,-37.8811,147.981,53.64,0,1.81,clear sky
208,Kupang,ID,-10.1667,123.5833,81.18,40,5.75,scattered clouds
209,Teguise,ES,29.0605,-13.564,64.62,75,18.16,broken clouds
210,At-Bashi,KG,41.1702,75.8106,55.67,64,1.16,broken clouds
211,Trincomalee,LK,8.5711,81.2335,81.57,89,21.21,overcast clouds
212,Douentza,ML,14.9951,-2.9517,90.88,0,1.86,clear sky
213,Guabito,PA,9.5,-82.6167,78.69,66,1.92,broken clouds
214,Yatou,CN,37.15,122.3833,66.9,8,8.46,clear sky
215,Saint George,US,37.1041,-113.5841,93.79,1,4.0,clear sky
216,Terra Santa,BR,-2.1042,-56.4869,77.52,37,3.22,scattered clouds
217,Saint-Philippe,RE,-21.3585,55.7679,69.39,40,5.66,scattered clouds
218,Wheatley,GB,51.7473,-1.1394,48.99,0,5.75,clear sky
219,Hambantota,LK,6.1241,81.1185,82.4,40,14.97,scattered clouds
220,Tigzirt,DZ,36.8886,4.1198,68.11,97,7.74,overcast clouds
221,Tiksi,RU,71.6872,128.8694,35.28,96,4.9,overcast clouds
222,Bijawar,IN,24.6333,79.5,91.35,65,6.6,broken clouds
223,Changtu,CN,42.7788,124.0955,72.37,23,9.35,few clouds
224,Kawalu,ID,-7.3817,108.2082,76.82,100,2.1,overcast clouds
225,Jijiga,ET,9.35,42.8,62.92,5,7.38,clear sky
226,Bandarbeyla,SO,9.4942,50.8122,78.57,100,22.59,overcast clouds
227,Muros,ES,42.7762,-9.0603,65.84,1,5.44,clear sky
228,Ous,RU,60.9058,61.5186,41.23,89,8.88,overcast clouds
229,Fayaoue,NC,-20.65,166.5333,72.46,19,8.68,few clouds
230,Carnarvon,AU,-24.8667,113.6333,57.27,38,6.91,scattered clouds
231,Linxia,CN,35.6003,103.2064,63.14,100,5.03,overcast clouds
232,Jieshi,CN,22.8134,115.8257,79.83,100,4.43,light rain
233,Marathon,US,44.9,-89.7668,58.14,90,3.78,overcast clouds
234,Fortuna,US,40.5982,-124.1573,83.19,100,3.0,overcast clouds
235,Hargeysa,SO,9.56,44.065,70.32,3,17.78,clear sky
236,Vanimo,PG,-2.6741,141.3028,84.99,53,7.76,broken clouds
237,Derzhavinsk,KZ,51.1,66.3167,69.06,100,8.3,overcast clouds
238,Mogadishu,SO,2.0371,45.3438,78.22,18,15.7,few clouds
239,Pangnirtung,CA,66.1451,-65.7125,33.01,100,3.83,snow
240,Kirakira,SB,-10.4544,161.9205,81.79,80,7.67,broken clouds
241,Whitehorse,CA,60.7161,-135.0538,61.02,75,11.01,broken clouds
242,Ambon,ID,-3.6954,128.1814,82.4,40,6.91,scattered clouds
243,Plouzane,FR,48.3833,-4.6167,53.69,0,10.54,clear sky
244,Praya,CV,14.9215,-23.5087,72.14,0,8.05,clear sky
245,Castro,BR,-24.7911,-50.0119,56.34,100,3.27,overcast clouds
246,Kedrovyy,RU,56.1667,91.8167,41.41,4,3.02,clear sky
247,Taoudenni,ML,22.6783,-3.9836,101.25,100,5.82,overcast clouds
248,Nemuro,JP,43.3236,145.575,46.83,90,18.54,overcast clouds
249,Pietersburg,ZA,-23.9045,29.4688,50.85,8,0.0,clear sky
250,Dunedin,NZ,-45.8742,170.5036,50.81,100,15.01,overcast clouds
251,Kirksville,US,40.1948,-92.5833,64.4,1,4.61,clear sky
252,Mar Del Plata,AR,-38.0023,-57.5575,48.09,0,10.0,clear sky
253,Naryan-Mar,RU,67.6713,53.087,34.74,68,13.96,broken clouds
254,Salalah,OM,17.0151,54.0924,82.49,75,5.75,broken clouds
255,Kijang,KR,35.2442,129.2139,67.73,0,4.16,clear sky
256,Coquimbo,CL,-29.9533,-71.3436,55.13,0,1.77,clear sky
257,Ustye,RU,59.6304,39.736,32.43,0,3.62,clear sky
258,Fomboni,KM,-12.28,43.7425,79.66,0,10.04,clear sky
259,Predivinsk,RU,57.0669,93.4378,50.58,81,1.45,broken clouds
260,Souillac,MU,-20.5167,57.5167,69.8,40,6.91,scattered clouds
261,Dudinka,RU,69.4058,86.1778,33.04,100,9.13,overcast clouds
262,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,1,3.44,clear sky
263,Rasskazovo,RU,52.6714,41.9033,45.77,100,9.51,overcast clouds
264,Namatanai,PG,-3.6667,152.4333,84.11,100,8.34,light rain
265,Roma,US,43.2128,-75.4557,51.8,90,4.61,overcast clouds
266,Purmerend,NL,52.505,4.9597,55.96,0,7.02,clear sky
267,Jalu,LY,29.0331,21.5482,78.93,0,10.38,clear sky
268,Severo-Kurilsk,RU,50.6789,156.125,38.89,100,24.07,moderate rain
269,Tsabong,BW,-26.0217,22.401,52.54,7,3.65,clear sky
270,Moramanga,MG,-18.9333,48.2,58.06,70,1.52,broken clouds
271,Pisco,PE,-13.7,-76.2167,66.02,0,9.22,clear sky
272,Tanabi,BR,-20.6264,-49.6492,70.02,70,4.88,broken clouds
273,Longyearbyen,SJ,78.2186,15.6401,33.8,90,5.75,overcast clouds
274,Muravlenko,RU,63.7898,74.523,43.2,100,13.29,overcast clouds
275,Hof,DE,50.3167,11.9167,45.0,10,3.0,clear sky
276,Emba,KZ,48.8264,58.1442,70.16,31,2.98,scattered clouds
277,Aconibe,GQ,1.2968,10.9369,68.23,91,2.66,light rain
278,Urumqi,CN,43.801,87.6005,70.75,0,1.74,clear sky
279,Jedrzejow,PL,50.6394,20.3045,51.15,97,3.0,overcast clouds
280,Sarh,TD,9.1429,18.3923,87.71,0,0.0,clear sky
281,Aklavik,CA,68.2191,-135.0107,54.32,97,8.55,overcast clouds
282,Ketchikan,US,55.3422,-131.6461,55.38,100,2.91,light rain
283,Alpena,US,45.0617,-83.4327,61.12,1,4.0,clear sky
284,Los Lunas,US,34.8062,-106.7334,72.0,75,26.46,broken clouds
285,Ubinskoye,RU,55.3068,79.6802,62.29,33,9.62,scattered clouds
286,Asau,RO,46.4333,26.4,50.0,89,2.44,overcast clouds
287,Ortakoy,TR,38.7373,34.0387,55.65,33,6.29,scattered clouds
288,Sturgeon Falls,CA,46.3646,-79.9326,64.36,3,5.1,clear sky
289,Majene,ID,-3.5403,118.9707,82.85,92,7.36,overcast clouds
290,Vakhrushev,RU,48.9833,142.9667,45.19,8,11.5,clear sky
291,Port Macquarie,AU,-31.4333,152.9167,63.9,69,8.55,broken clouds
292,Olds,CA,51.7834,-114.102,71.6,59,12.66,broken clouds
293,Kyren,RU,51.6828,102.1408,39.36,100,2.48,overcast clouds
294,Oranjestad,AW,12.524,-70.027,82.35,40,8.01,scattered clouds
295,Airai,TL,-8.9266,125.4092,68.43,100,1.95,overcast clouds
296,Coahuayana,MX,18.7333,-103.6833,90.88,74,3.96,broken clouds
297,Mikuni,JP,36.2171,136.1519,64.4,20,4.61,few clouds
298,Port Lincoln,AU,-34.7333,135.8667,58.1,100,15.97,overcast clouds
299,Namibe,AO,-15.1961,12.1522,72.64,91,5.46,overcast clouds
300,Biltine,TD,14.5333,20.9167,88.36,16,9.01,few clouds
301,Lavrentiya,RU,65.5833,-171.0,38.62,100,12.21,overcast clouds
302,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.06,99,6.2,overcast clouds
303,Liku,ID,-0.7275,119.8922,83.41,99,2.55,overcast clouds
304,Rorvik,NO,64.8621,11.2373,48.54,100,1.52,overcast clouds
305,Cherskiy,RU,68.75,161.3,63.41,0,3.85,clear sky
306,Mahebourg,MU,-20.4081,57.7,72.25,40,6.91,light rain
307,Rundu,NA,-17.9333,19.7667,54.01,78,4.54,broken clouds
308,Auki,SB,-8.7676,160.7034,84.81,100,3.29,overcast clouds
309,Almenara,BR,-16.1836,-40.6944,68.9,64,2.59,broken clouds
310,Lasa,IT,46.6166,10.7002,52.68,10,1.88,clear sky
311,Hovd,MN,48.0056,91.6419,50.86,3,3.71,clear sky
312,Genhe,CN,50.7833,121.5167,56.52,100,5.86,overcast clouds
313,Santa Catalina,PH,9.3337,122.8637,80.58,90,2.55,overcast clouds
314,Itapecerica,BR,-20.4725,-45.1256,68.36,81,2.84,broken clouds
315,Abha,SA,18.2164,42.5053,69.8,0,4.38,clear sky
316,Hamilton,US,39.1834,-84.5333,64.62,1,4.23,clear sky
317,Atlantic City,US,39.3643,-74.4229,53.02,90,16.98,overcast clouds
318,Uribia,CO,11.7139,-72.266,80.8,57,16.69,broken clouds
319,Bucerias,MX,20.75,-105.3333,82.38,1,5.53,clear sky
320,Gourdon,FR,44.75,1.5,55.33,53,2.73,broken clouds
321,Quesnel,CA,52.9999,-122.5029,66.7,90,3.44,overcast clouds
322,Itaueira,BR,-7.6033,-43.0256,74.77,35,5.7,scattered clouds
323,Verkhnyaya Tishanka,RU,51.3239,40.5328,51.51,100,8.57,overcast clouds
324,Talcahuano,CL,-36.7167,-73.1167,55.08,90,6.91,overcast clouds
325,Arman,RU,59.7,150.1667,37.44,100,5.86,light rain
326,Port Shepstone,ZA,-30.7414,30.455,58.32,20,4.9,few clouds
327,Hit,IQ,33.6416,42.8251,82.85,97,8.05,overcast clouds
328,Fairbanks,US,64.8378,-147.7164,69.1,20,6.91,few clouds
329,Am Timan,TD,11.0297,20.2827,89.11,1,3.2,clear sky
330,Araouane,ML,18.9048,-3.5265,92.77,85,5.97,overcast clouds
331,Flinders,AU,-34.5833,150.8552,62.38,0,1.99,clear sky
332,Oxapampa,PE,-10.5775,-75.4017,59.58,100,2.01,overcast clouds
333,Port Pirie,AU,-33.1833,138.0167,46.49,100,5.08,moderate rain
334,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,20,8.7,few clouds
335,Ancud,CL,-41.8697,-73.8203,56.23,100,14.83,overcast clouds
336,Kaspiyskiy,RU,45.3929,47.3707,65.61,3,14.97,clear sky
337,Jaru,BR,-10.4389,-62.4664,73.47,100,1.81,overcast clouds
338,Brae,GB,60.3964,-1.353,46.31,29,9.62,scattered clouds
339,Puerto Leguizamo,CO,-0.1934,-74.7819,71.76,100,1.86,overcast clouds
340,Pangody,RU,65.85,74.4859,37.67,100,15.46,overcast clouds
341,Noumea,NC,-22.2763,166.4572,73.99,90,3.44,overcast clouds
342,Pontes E Lacerda,BR,-15.2261,-59.3353,75.07,64,2.35,broken clouds
343,Gari,RU,59.4307,62.3497,43.29,100,10.65,light rain
344,Tumbes,PE,-3.5667,-80.4414,72.03,98,7.4,overcast clouds
345,Talara,PE,-4.5772,-81.2719,68.59,97,14.85,overcast clouds
346,Bocaiuva,BR,-17.1078,-43.815,73.11,38,5.84,scattered clouds
347,Bonthe,SL,7.5264,-12.505,78.64,100,6.02,light rain
348,Balagansk,RU,54.0103,103.0544,37.94,100,4.5,light rain
349,Gat,IL,31.61,34.7642,78.4,0,4.74,clear sky
350,Trelew,AR,-43.249,-65.3051,54.34,100,28.34,overcast clouds
351,Izvestkovyy,RU,48.9833,131.55,62.01,22,6.51,few clouds
352,Kargil,IN,34.5667,76.1,44.67,41,4.12,scattered clouds
353,Tambura,SS,5.6,27.4667,72.36,5,3.47,clear sky
354,Nouakchott,MR,18.0858,-15.9785,72.01,100,18.88,overcast clouds
355,Luderitz,NA,-26.6481,15.1594,56.55,0,16.17,clear sky
356,Oktyabrskiy,RU,54.4815,53.471,45.25,35,8.43,scattered clouds
357,Leningradskiy,RU,69.3833,178.4167,39.02,52,3.4,broken clouds
358,Tiassale,CI,5.8983,-4.8283,75.29,100,2.1,overcast clouds
359,Sosnovo-Ozerskoye,RU,52.5249,111.5418,44.62,63,6.85,broken clouds
360,Meulaboh,ID,4.1363,96.1285,77.09,100,3.76,overcast clouds
361,Nenjiang,CN,49.1833,125.2167,67.06,100,9.73,overcast clouds
362,Esperance,AU,-33.8667,121.9,55.24,100,27.74,light rain
363,Baykit,RU,61.67,96.37,47.01,29,3.11,scattered clouds
364,Teya,RU,60.3778,92.6267,49.77,94,4.16,overcast clouds
