City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
294,Oranjestad,AW,82.35,12.524,-70.027,scattered clouds,Divi Village Golf & Beach Resort
299,Namibe,AO,72.64,-15.1961,12.1522,overcast clouds,Hotel Chik Chik Namibe
300,Biltine,TD,88.36,14.5333,20.9167,few clouds,Hôtel Trois Étoiles de Biltine
302,Sao Joao Da Barra,BR,73.06,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
303,Liku,ID,83.41,-0.7275,119.8922,overcast clouds,Kost Raisa & homestay
306,Mahebourg,MU,72.25,-20.4081,57.7,light rain,Shandrani Beachcomber Resort & Spa
308,Auki,SB,84.81,-8.7676,160.7034,overcast clouds,Auki Motel
313,Santa Catalina,PH,80.58,9.3337,122.8637,overcast clouds,Don Pacondo
318,Uribia,CO,80.8,11.7139,-72.266,broken clouds,Hotel Uribia
319,Bucerias,MX,82.38,20.75,-105.3333,clear sky,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
322,Itaueira,BR,74.77,-7.6033,-43.0256,scattered clouds,Pousada e Restaurante Cheiro e Sabor
327,Hit,IQ,82.85,33.6416,42.8251,overcast clouds,صالون زيرو
329,Am Timan,TD,89.11,11.0297,20.2827,clear sky,Palais du chef Canton Salamt
337,Jaru,BR,73.47,-10.4389,-62.4664,overcast clouds,Hotel Paraná
339,Puerto Leguizamo,CO,71.76,-0.1934,-74.7819,overcast clouds,la casona de juancho
341,Noumea,NC,73.99,-22.2763,166.4572,overcast clouds,Hôtel Le Lagon
342,Pontes E Lacerda,BR,75.07,-15.2261,-59.3353,broken clouds,Hotel Bressan
344,Tumbes,PE,72.03,-3.5667,-80.4414,overcast clouds,Wyndham Costa del Sol Tumbes
346,Bocaiuva,BR,73.11,-17.1078,-43.815,scattered clouds,Hotel Maxim's
347,Bonthe,SL,78.64,7.5264,-12.505,light rain,Bonthe Holiday Village
349,Gat,IL,78.4,31.61,34.7642,clear sky,OlusHome
353,Tambura,SS,72.36,5.6,27.4667,clear sky,Rikito Lodge
354,Nouakchott,MR,72.01,18.0858,-15.9785,overcast clouds,HOTEL IMAN فندق إيمان
358,Tiassale,CI,75.29,5.8983,-4.8283,overcast clouds,Hotel La Villa Des Hotes Tiassale
360,Meulaboh,ID,77.09,4.1363,96.1285,overcast clouds,Kost Pria
367,Luganville,VU,74.61,-15.5333,167.1667,overcast clouds,The Espiritu Hotel
369,Mengcheng,CN,85.57,33.2579,116.5655,overcast clouds,Jinliang Hotel
371,Tateyama,JP,75.15,34.9833,139.8667,clear sky,Tateyama Seaside Hotel
373,Fukue,JP,73.76,32.6881,128.8419,clear sky,Goto Guesthouse Utojuku & SA Car Rental
374,San Cristobal,VE,73.58,7.7669,-72.225,broken clouds,Posada Villaven C.A.
377,Ibra,OM,79.57,22.6906,58.5334,overcast clouds,مزرعة راحة النفوس المنزفة
380,Amapa,BR,72.16,1.0,-52.0,broken clouds,
381,Tezu,IN,76.17,27.9167,96.1667,overcast clouds,Circuit House
382,Maceio,BR,76.44,-9.6658,-35.7353,light rain,Poutur Pousada
384,Karia,NG,85.15,11.7306,11.1629,clear sky,
385,Key Largo,US,82.0,25.0865,-80.4473,few clouds,Bayside Inn Key Largo
387,Salinopolis,BR,79.11,-0.6136,-47.3561,few clouds,Salinas Park Resort Maçarico AP101
391,Aden,YE,87.55,12.7794,45.0367,clear sky,Sama Emirate Hotel
392,Bilma,NE,88.14,18.6853,12.9164,overcast clouds,Expeditions Ténére voyages
393,Caravelas,BR,74.57,-17.7125,-39.2481,clear sky,Pousada dos Navegantes
396,Rosarito,MX,73.94,32.3333,-117.0333,scattered clouds,Hotel Festival Plaza Rosarito
397,Ixtapa,MX,81.63,20.7,-105.2,clear sky,Hotel Plaza Providencia
400,Rajula,IN,80.78,21.05,71.4333,clear sky,Lion Lords Inn Rajula
401,Huilong,CN,77.04,31.8111,121.655,overcast clouds,Hilton Garden Inn Qidong
405,Pedernales,DO,80.47,18.0384,-71.744,clear sky,Hotel Costa Marina
406,Sidi Ali,DZ,71.67,36.0998,0.4206,overcast clouds,الغابة الترفيهية بورحمة
412,Maymyo,MM,72.64,22.0333,96.4667,overcast clouds,Tiger Hotel
413,Trairi,BR,77.45,-3.2778,-39.2689,clear sky,janelas do mar
414,Pemangkat,ID,82.51,1.1667,108.9667,broken clouds,Ramah Kost KITA
416,Amarante Do Maranhao,BR,73.08,-5.5667,-46.7422,clear sky,Hotéis Caçulinha
418,Sorong,ID,78.46,-0.8833,131.25,overcast clouds,waigo splash hotel
419,Susanville,US,88.0,40.4163,-120.653,clear sky,Red Lion Inn & Suites Susanville
420,Karratha,AU,71.24,-20.7377,116.8463,clear sky,ibis Styles Karratha
422,Tual,ID,81.52,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
423,Marsa Matruh,EG,70.54,31.3525,27.2453,clear sky,Beau Site
424,Komsomolskiy,UZ,71.02,40.4272,71.7189,clear sky,Ikathouse
425,Qui Nhon,VN,88.38,13.7667,109.2333,clear sky,Hoang Yen Canary Hotel
430,Puerto Baquerizo Moreno,EC,72.63,-0.9,-89.6,few clouds,Hotel los Algarrobos
431,Buala,SB,84.81,-8.145,159.5921,overcast clouds,Maringe Lagoon Lodge
432,Nalut,LY,77.7,30.3333,10.85,clear sky,
437,Kavieng,PG,83.1,-2.5744,150.7967,moderate rain,Nusa Island Retreat
438,Kushima,JP,78.31,31.4583,131.2333,clear sky,Hanaoka
439,Delijan,IR,75.7,33.9905,50.6838,clear sky,ایزوگام آسیاگستردلیجان
441,Gohana,IN,87.46,29.1333,76.7,clear sky,Ashok Mor Baroda
442,Tomatlan,MX,85.64,19.9333,-105.25,scattered clouds,Norma franco
443,Chalchuapa,SV,70.63,13.9867,-89.6811,light rain,Hostal Las Flores Chalchuapa
445,The Valley,AI,81.1,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
446,Gunupur,IN,84.36,19.0833,83.8167,broken clouds,Sree Satya Residency
447,Hua Hin,TH,82.42,12.5707,99.9588,few clouds,InterContinental Hua Hin Resort
449,Berasia,IN,77.45,23.6333,77.4333,broken clouds,golu narwaria
451,Haflong,IN,77.2,25.1833,93.0333,scattered clouds,Changsan Inn
453,Kiunga,PG,79.18,-6.1219,141.2906,overcast clouds,Airport Lodge Kiunga
454,Eseka,CM,73.69,3.65,10.7667,light rain,Complexe Hotelier Ndjiki Mpeck Eseka II
456,San Policarpo,PH,83.34,12.1791,125.5072,overcast clouds,JM Lodge
457,Payson,US,81.0,40.0444,-111.7321,scattered clouds,Quality Inn Payson I-15
459,Oeiras,BR,73.62,-7.0253,-42.1311,broken clouds,Hotel SESC Oeiras
462,Rapid Valley,US,71.19,44.0625,-103.1463,overcast clouds,Fairfield by Marriott Rapid City
463,Barbacoas,CO,76.3,1.6715,-78.1398,light rain,edificio justin
464,Samarai,PG,80.46,-10.6167,150.6667,broken clouds,Nuli Sapi
465,Dibrugarh,IN,75.25,27.4833,94.9,overcast clouds,Hotel Tea City
469,Eydhafushi,MV,82.99,5.1033,73.0708,overcast clouds,Soneva Fushi
472,Lorengau,PG,82.65,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
473,Mineral Wells,US,74.32,32.8085,-98.1128,scattered clouds,Budget Host Inn
474,Grand-Lahou,CI,79.65,5.1367,-5.0242,light rain,Hotel Beatitude de Grand Lahou
479,Sharjah,AE,87.8,25.3573,55.4033,clear sky,Swiss Belhotel Sharjah
485,Mamallapuram,IN,84.06,12.6264,80.1722,broken clouds,Radisson Blu Resort Temple Bay Mamallapuram
489,Meadow Lake,US,76.44,34.8014,-106.5436,scattered clouds,JKL Inc. R.V Park and Storage
492,Bonfim,BR,74.57,3.0833,-59.95,overcast clouds,
497,Quatre Cocos,MU,72.09,-20.2078,57.7625,scattered clouds,Emeraude Beach Attitude Hotel
498,Banda Aceh,ID,82.18,5.5577,95.3222,overcast clouds,Sulthan Hotel International
500,Manokwari,ID,82.9,-0.8667,134.0833,overcast clouds,Swiss Belhotel Manokwari
505,Kota Kinabalu,MY,84.18,5.9749,116.0724,few clouds,Gaya Centre Hotel
